date	mining	other	total
2013m1	-2.85058144463368	1.55462971336515	1.18730609968307
2013m2	1.81740533358641	1.7727020444593	1.77634500355437
2013m3	2.8948309428265	1.87927310408083	1.9615085161282
2013m4	1.75652946590079	1.74342812319426	1.74448737883011
2013m5	1.34650053445222	2.03058076674407	1.97557754632525
2013m6	2.38047140767794	1.49049982048877	1.56105760884258
2013m7	6.59000806066887	1.57500835189694	1.96476011976752
2013m8	10.0505831695999	1.82675885521078	2.45658318189792
2013m9	9.9211574683713	2.33080692774554	2.9142259735867
2013m10	9.59275647328746	2.8765464200645	3.40183880407239
2013m11	6.84984333574354	2.86081442917903	3.1777849986945
2013m12	6.25310651124757	2.40997022468092	2.71592063678463
2014m1	6.69501205736769	1.90504789024075	2.28851538303754
2014m2	6.72585481039598	2.13225981482772	2.50675194326151
2014m3	7.26399357469418	1.85917726955975	2.30084172980587
2014m4	9.80913471284441	1.86548378290508	2.50781129820119
2014m5	10.6580086580087	2.08429746303724	2.76941094040597
2014m6	12.4140707007727	2.60513430838483	3.3890703757693
2014m7	7.21660621961571	2.37507761803057	2.76841577330575
2014m8	1.97909227660189	2.21245235658285	2.19325574171905
2014m9	5.43255743422548	1.93037730040131	2.21789403706387
2014m10	5.74442791240177	1.7899622625188	2.117769267337
2014m11	4.83548377394809	1.57407638386509	1.84245289147793
2014m12	3.87511506134091	2.42591013948916	2.5452536834538
2015m1	1.56129185749123	2.14310584722353	2.09452135248329
2015m2	-1.53419552987242	1.7923394718367	1.50998201711061
2015m3	-4.88646017826544	1.88353611184764	1.30347372972999
2015m4	-7.50076328289749	1.67092787503629	0.876476528683057
2015m5	-7.44002105397927	0.992244449176427	0.266711873452019
2015m6	-5.7501123343069	1.07639821522352	0.483194943535747
2015m7	-1.06015459688216	1.03524788428047	0.857643606043945
2015m8	2.54263173186522	1.17832039708186	1.29031587328865
2015m9	-4.3098054726547	0.927150555518597	0.483693682995812
2015m10	-5.74347733861275	0.875657789032136	0.307475303651583
2015m11	-3.24255703701578	1.10516233606759	0.736880412006613
2015m12	-1.86527594171739	0.869627299752707	0.641484351284038
2016m1	0.511698046909315	1.63921162389853	1.54555012791411
2016m2	0.622352967263651	1.57986777734229	1.50103091277771
2016m3	-0.308840561060353	1.46343627737942	1.32086375269991
2016m4	-0.278641335636154	1.73141852736374	1.57176624945967
2016m5	-6.20374853032714	1.72815276488529	1.09812974301287
2016m6	-5.4103782720758	1.78454330075728	1.19811051541885
2016m7	-3.97544173595501	1.69917979957106	1.22735009235972
2016m8	-2.7767283717416	1.65167953347609	1.28365976767213
2016m9	ND	ND	ND
2016m10	ND	ND	ND
2016m11	ND	ND	ND
2016m12	ND	ND	ND
