date	vancouver	toronto	rest
2010m1	85.0570814965525	78.4431524547804	88.9563734600425
2010m2	85.4300892958065	78.7532299741602	89.0355667107339
2010m3	85.9839493613654	78.6950904392765	89.2635666340952
2010m4	86.8034361930598	79.0891472868217	90.1461881861552
2010m5	87.7585622244829	80.0064599483204	91.2172130362309
2010m6	88.4593647564146	81.9702842377261	92.1988261516551
2010m7	88.0976602238047	83.0167958656331	92.7014478314461
2010m8	87.786820391093	83.3785529715762	93.0156662132214
2010m9	87.408160958517	81.9896640826873	92.2735488156138
2010m10	87.4307674918051	81.2532299741602	91.8680027334445
2010m11	88.0015824573302	80.8139534883721	91.162288684945
2010m12	88.4198033231604	81.1757105943152	91.0013475625722
2011m1	89.1545156550243	81.6343669250646	90.956003039999
2011m2	89.5670848875325	81.6343669250646	91.2855491477146
2011m3	90.3639651859387	81.9250645994832	91.6214818079053
2011m4	91.8786029162428	82.4935400516796	92.2965404045242
2011m5	93.3875890132248	83.8501291989664	93.017582178964
2011m6	95.0378659432576	85.5555555555556	94.1754641427011
2011m7	95.9082174748502	87.1188630490956	95.1583545686203
2011m8	96.5129422403075	88.5077519379845	95.669278766629
2011m9	96.4790324403753	88.9793281653747	95.4119007018821
2011m10	96.1625409743416	89.6705426356589	94.9699512706046
2011m11	95.9703854413926	89.5025839793282	94.7042706876401
2011m12	95.676500508647	89.2441860465116	94.6946908589274
2012m1	95.4221770091556	89.735142118863	94.6672286832845
2012m2	95.116988809766	89.7803617571059	94.4187917920028
2012m3	95.7838815417656	90.1227390180878	94.7732454543713
2012m4	96.3999095738669	90.8656330749354	95.5587914088096
2012m5	97.4680682717305	92.1705426356589	96.4797322757202
2012m6	97.9597603707471	93.6886304909561	97.7136142139112
2012m7	97.4567650050865	95.1679586563307	98.3471602194419
2012m8	96.2529671074941	95.859173126615	98.7456810938887
2012m9	95.105685543122	95.9625322997416	98.4576475772613
2012m10	95.2074149429185	95.4263565891473	98.2781854527108
2012m11	94.6705097773256	95.1744186046512	97.9243704455898
2012m12	93.7549451791568	94.8578811369509	97.8081351905428
2013m1	92.9976263140048	94.5025839793282	97.8164377087604
2013m2	93.6588674126823	94.2118863049096	97.3272277891671
2013m3	94.370973211258	94.3733850129199	97.6797654857931
2013m4	93.608002712784	94.7480620155039	98.2749921764732
2013m5	94.3088052447157	95.7364341085271	99.5823194681279
2013m6	95.1848084096304	97.0930232558139	100.401075495437
2013m7	95.4673900757319	98.3850129198966	100.911361038198
2013m8	96.1794958743077	99.547803617571	101.044839984928
2013m9	96.7050977732565	99.5284237726098	100.798319059389
2013m10	97.7732564711201	99.328165374677	100.743394708103
2013m11	98.3610263366113	99.1602067183462	100.408100703159
2013m12	98.9205380354923	99.515503875969	99.9897815160398
2014m1	100	100	100
2014m2	100.864699898271	99.9160206718346	100.303999897815
2014m3	101.514637730304	99.890180878553	100.036403349108
2014m4	102.023284729287	100.226098191214	100.730621603152
2014m5	101.995026562677	101.524547803618	101.475932276998
2014m6	101.022945631287	102.990956072351	102.915461204887
2014m7	101.254662597491	104.877260981912	103.98201546823
2014m8	102.085452695829	106.182170542636	104.386284239904
2014m9	102.972759127388	106.899224806202	104.149981798325
2014m10	104.165253758336	106.640826873385	104.25663722466
2014m11	104.193511924946	106.350129198966	103.797444101699
2014m12	103.826155759014	106.71834625323	103.229679586662
2015m1	105.086469989827	107.35142118863	102.503528570242
2015m2	106.623714253419	107.228682170543	101.988772440749
2015m3	106.894992652877	107.50645994832	102.334284929652
2015m4	106.928902452809	107.519379844961	102.880973821521
2015m5	108.273991183452	109.237726098191	103.10961240013
2015m6	109.585170114163	111.020671834625	104.349242235549
2015m7	111.30326664406	113.636950904393	104.44376321218
2015m8	111.947552842772	115.47157622739	105.259964618499
2015m9	113.710862439245	116.143410852713	105.263157894737
2015m10	114.400361704533	116.505167958656	105.020468900683
2015m11	115.943257601447	116.621447028424	104.664099272572
2015m12	117.214875098904	116.808785529716	103.663326499722
2016m1	118.215214196903	116.608527131783	103.110251055378
2016m2	122.047021589239	116.87984496124	102.534822677371
2016m3	125.404091782525	117.228682170543	102.65041927717
2016m4	128.111224143778	118.817829457364	103.253948486068
2016m5	131.779134169775	120.794573643411	104.452065730398
2016m6	135.198372329603	124.773901808786	105.844972825219
2016m7	138.357635356618	128.695090439276	106.710350685596
2016m8	140.776534418447	132.319121447028	106.854048116286
2016m9	141.025206284616	135.193798449612	106.753779242427
2016m10	140.166158019668	136.763565891473	106.7735775551
2016m11	ND	ND	ND
2016m12	ND	ND	ND
