date	mining	other
2010q1	12.5894030068603	1.27683959814473
2010q2	33.8907112569006	5.84232818691077
2010q3	40.6090573738325	6.81451393548154
2010q4	42.8239700374532	7.75901211705736
2011q1	26.9527451870098	8.72352088269619
2011q2	17.1974902898118	10.8821934784292
2011q3	15.4395757744906	7.10296239708004
2011q4	12.8704043635601	5.63386100003305
2012q1	13.290783763084	5.31978044317951
2012q2	16.2698210370672	1.70671509732701
2012q3	9.66587689183309	4.80828670608189
2012q4	9.34900794572744	3.67760353525477
2013q1	9.6493600144222	-0.517306608398893
2013q2	8.49412383792316	-3.60339735811909
2013q3	11.005291005291	-5.36504215660327
2013q4	6.22954999362597	-6.15056164517905
2014q1	1.23720662583748	-3.87591484473834
2014q2	-1.10747342467968	-0.90642094346941
2014q3	-3.34842707340324	2.04474630443467
2014q4	-2.97611904476179	3.41789653065818
2015q1	-13.8611449451888	1.28377996495845
2015q2	-17.8076592961949	-2.90151466734837
2015q3	-21.0454937738873	-6.32140256364078
2015q4	-24.436198721913	-8.79787961696307
2016q1	-16.6525263951734	-7.36111221829835
2016q2	-13.2322227747389	-4.2675903376555
2016q3	ND	ND
2016q4	ND	ND
